Unique.Specimen.Identifier;Family1;Order1;Sequence;Specimen.number;Source;Sex;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-wing.Index;Tail.Length;Sample.Number;Measurer;Avonet.Protocol.Used;Protocol.both.pairs;Protocol.neither.pair
Oriolus xanthornus_1921.12.21.259;Oriolidae;PASSERIFORMES;6273;1921.12.21.259;NHMUK;M;29,3;NA;8,8;8,1;NA;137,9;NA;NA;NA;84,7;2;VR;0;0;1
Oriolus xanthornus_1924.12.22.95;Oriolidae;PASSERIFORMES;6273;1924.12.22.95;NHMUK;M;29,5;NA;8,6;7,5;23,7;134;37;97;27,6;82;2;CR;0;0;1
Oriolus xanthornus_1924.12.22.95;Oriolidae;PASSERIFORMES;6273;1924.12.22.95;NHMUK;M;29;NA;8,5;8,4;NA;133,7;NA;NA;NA;84,7;1;VR;0;0;1
Ornithion brunneicapillus_70.6.10.29;Tyrannidae;PASSERIFORMES;5609;70.6.10.29;NHMUK;U;9,6;5,3;3;3,5;13,2;43;6;37;14;25,5;2;CS;1;0;0
Ornithion brunneicapillus_70.6.10.29;Tyrannidae;PASSERIFORMES;5609;70.6.10.29;NHMUK;U;9,9;NA;3,1;3,2;13,2;45;NA;NA;NA;28;1;GT;0;0;0
Ornorectes cristatus_1916.5.30.123;Oreoicidae;PASSERIFORMES;6290;1916.5.30.123;NHMUK;F;26,6;NA;5,7;10,3;33,2;109;NA;NA;NA;85;1;GT;0;0;0
Ornorectes cristatus_1916.5.30.123;Oreoicidae;PASSERIFORMES;6290;1916.5.30.123;NHMUK;F;25,9;15,2;5,3;10,2;35,1;114;14,5;99,5;12,7;82;2;SRW;1;0;0
Orochelidon murina_1969.52.1028;Hirundinidae;PASSERIFORMES;7762;1969.52.1028;NHMUK;M;10,2;NA;NA;2,5;10,8;122,2;61,3;60,9;50,2;69,3;2;APH;0;0;0
Orochelidon murina_1969.52.1028;Hirundinidae;PASSERIFORMES;7762;1969.52.1028;NHMUK;M;10;4,3;3,4;2,2;11,4;121;58,5;62,5;48,3;69;1;HM;1;0;0
Orthonyx novaeguineae_94.2.16.6;Orthonychidae;PASSERIFORMES;6232;94.2.16.6;NHMUK;M;15,1;NA;3,9;4,8;30,9;90;NA;NA;NA;77;1;GT;0;0;0
Orthonyx novaeguineae_94.2.16.6;Orthonychidae;PASSERIFORMES;6232;94.2.16.6;NHMUK;U;14,4;8,3;4;4,8;30;87;7,3;79,7;8,4;78;2;SRW;1;0;0
Orthonyx spaldingii_1964.60.605;Orthonychidae;PASSERIFORMES;6233;1964.60.605;NHMUK;F;22,5;NA;4,8;NA;NA;110;NA;NA;NA;84;1;BM;0;0;0
Orthonyx spaldingii_1964.60.605;Orthonychidae;PASSERIFORMES;6233;1964.60.605;NHMUK;F;22,2;12;4,8;7,4;39,6;112;11,7;100,3;10,4;87;2;SRW;1;0;0
Orthonyx spaldingii_1964.60.609;Orthonychidae;PASSERIFORMES;6233;1964.60.609;NHMUK;M;24,3;NA;5,2;6,7;NA;127;NA;NA;NA;111;1;BM;0;0;0
Orthonyx spaldingii_1964.60.609;Orthonychidae;PASSERIFORMES;6233;1964.60.609;NHMUK;M;24,1;NA;5,1;6,6;44,5;119;NA;NA;NA;115;2;GT;0;0;0
Orthonyx spaldingii_1964.60.609;Orthonychidae;PASSERIFORMES;6233;1964.60.609;NHMUK;M;23,1;12;4,9;6,9;41,7;127;14,3;112,7;11,3;112;3;SRW;1;0;0
Orthotomus castaneiceps_96.6.6.239;Cisticolidae;PASSERIFORMES;7531;96.6.6.239;NHMUK;M;19;11,5;3,3;3,3;22,7;53;6,4;46,6;12;53;2;DS;1;0;0
Orthotomus castaneiceps_96.6.6.239;Cisticolidae;PASSERIFORMES;7531;96.6.6.239;NHMUK;M;18,9;NA;3,1;3,4;20,7;54;NA;NA;NA;54;1;GT;0;0;0
Orthotomus derbianus_96.6.6.241;Cisticolidae;PASSERIFORMES;7535;96.6.6.241;NHMUK;F;17,3;11,1;3;3,2;19,6;46;4,3;41,7;9,3;42;2;CS;1;0;0
Orthotomus derbianus_96.6.6.241;Cisticolidae;PASSERIFORMES;7535;96.6.6.241;NHMUK;F;17,5;NA;3,1;3,4;20;45;NA;NA;NA;42;1;GT;0;0;0
Orthotomus samarensis_1897.12.11.12;Cisticolidae;PASSERIFORMES;7532;1897.12.11.12;NHMUK;M;15,6;10,5;2,7;2,8;21;38,5;2,3;36,2;6;41;1;CS;1;1;0
Orthotomus samarensis_1897.12.11.12;Cisticolidae;PASSERIFORMES;7532;1897.12.11.12;NHMUK;M;15,5;8,9;2,5;2,8;20,9;35;2,5;32,5;7,1;42;2;CS;1;1;0
Orthotomus samarensis_1897.5.13.554;Cisticolidae;PASSERIFORMES;7532;1897.5.13.554;NHMUK;M;18,5;11,7;3,5;3;21,1;43,5;4;39,5;9,2;41;1;CS;1;1;0
Orthotomus samarensis_1897.5.13.554;Cisticolidae;PASSERIFORMES;7532;1897.5.13.554;NHMUK;M;18,5;11,9;3,4;2,9;21,8;43,5;2,4;41,1;5,5;43,5;2;CS;1;1;0
Orthotomus samarensis_1898.1.11.14;Cisticolidae;PASSERIFORMES;7532;1898.1.11.14;NHMUK;M;15,4;9,5;2,8;2,7;20,9;44;3,1;40,9;7;43;1;CS;1;1;0
Orthotomus samarensis_1898.1.11.14;Cisticolidae;PASSERIFORMES;7532;1898.1.11.14;NHMUK;M;15,7;9,3;2,6;2,8;21;42,5;2,7;39,8;6,4;43;2;CS;1;1;0
Orthotomus samarensis_97.12.11.12;Cisticolidae;PASSERIFORMES;7532;97.12.11.12;NHMUK;M;15,6;10,5;2,7;2,8;21;38,5;2,3;36,2;6;41;2;CS;1;0;0
Orthotomus samarensis_97.12.11.12;Cisticolidae;PASSERIFORMES;7532;97.12.11.12;NHMUK;M;16;NA;2,4;2,7;19,7;44;NA;NA;NA;42;1;GT;0;0;0
Ortygospiza atricollis_1927.11.5.798;Estrildidae;PASSERIFORMES;9817;1927.11.5.798;NHMUK;M;10,1;6,5;4,8;5,8;15;55;11,8;43,2;21,5;35;2;CS;1;0;0
Ortygospiza atricollis_1927.11.5.798;Estrildidae;PASSERIFORMES;9817;1927.11.5.798;NHMUK;M;9,3;NA;4,7;5,6;14,8;56;NA;NA;NA;33;1;GT;0;0;0
Otocichla mupinensis_1914.7.16.179;Turdidae;PASSERIFORMES;8937;1914.7.16.179;NHMUK;M;22,7;13,6;4,7;6,1;34,6;116,5;30,6;85,9;26,3;94;2;CS;1;0;0
Otocichla mupinensis_1914.7.16.179;Turdidae;PASSERIFORMES;8937;1914.7.16.179;NHMUK;M;22,8;NA;4,6;6,2;33,5;119;NA;NA;NA;98;1;GT;0;0;0
Oxylabes madagascariensis_1931.8.18.2190;Bernieridae;PASSERIFORMES;7665;1931.8.18.2190;NHMUK;M;18,3;10,2;3;4,6;22,6;69;6;63;8,7;70;2;CV;1;0;0
Oxylabes madagascariensis_1931.8.18.2190;Bernieridae;PASSERIFORMES;7665;1931.8.18.2190;NHMUK;M;18,4;NA;3,3;4,7;25;66;NA;NA;NA;71;1;GT;0;0;0
Pachycare flavogriseum_1916.5.30.328;Acanthizidae;PASSERIFORMES;6166;1916.5.30.328;NHMUK;F;16,3;9,2;4,6;4,8;20,5;63;9,3;53,7;14,8;45;2;CS;1;0;0
Pachycare flavogriseum_1916.5.30.328;Acanthizidae;PASSERIFORMES;6166;1916.5.30.328;NHMUK;M;15,3;NA;4,5;4,5;21,8;65;NA;NA;NA;47;1;GT;0;0;0
Pachycephala aurea_1916.5.30.279;Pachycephalidae;PASSERIFORMES;6350;1916.5.30.279;NHMUK;M;20,3;NA;6,1;6,6;26,1;92;14;78;15,2;59;2;CR;0;0;0
Pachycephala aurea_1916.5.30.279;Pachycephalidae;PASSERIFORMES;6350;1916.5.30.279;NHMUK;M;18,8;11,3;4,6;6,5;22,7;88,5;13,9;74,6;15,7;65;1;CS;1;0;0
Pachycephala flavifrons_1903.12.30.46;Pachycephalidae;PASSERIFORMES;6343;1903.12.30.46;NHMUK;M;18,5;NA;5,8;5,4;26,3;83;17;66;20,5;57;2;CR;0;0;0
Pachycephala flavifrons_1903.12.30.46;Pachycephalidae;PASSERIFORMES;6343;1903.12.30.46;NHMUK;M;19;9,9;5;5,4;23,8;83,5;16,8;66,7;20,1;62;1;CS;1;0;0
Pachycephala flavifrons_88.5.30.305;Pachycephalidae;PASSERIFORMES;6343;88.5.30.305;NHMUK;M;19,9;NA;5,5;5,2;26,7;85;18;67;21,2;53;2;CR;0;0;0
Pachycephala flavifrons_88.5.30.305;Pachycephalidae;PASSERIFORMES;6343;88.5.30.305;NHMUK;M;19,8;10,8;4,8;5,3;26,4;84;16,9;67,1;20,1;60;1;CS;1;0;0
Pachycephala griseiceps_1964.60.712;Pachycephalidae;PASSERIFORMES;6332;1964.60.712;NHMUK;M;15,6;NA;4,5;4,2;NA;78;NA;NA;NA;61;1;BM;0;0;1
Pachycephala griseiceps_1964.60.712;Pachycephalidae;PASSERIFORMES;6332;1964.60.712;NHMUK;M;16,2;NA;4,8;4;21,4;78;13;65;16,7;59;2;CR;0;0;1
Pachycephala griseiceps_1964.60.716;Pachycephalidae;PASSERIFORMES;6332;1964.60.716;NHMUK;M;15,2;NA;3,6;4,4;NA;73;NA;NA;NA;57;1;BM;0;0;1
Pachycephala griseiceps_1964.60.716;Pachycephalidae;PASSERIFORMES;6332;1964.60.716;NHMUK;M;16,7;NA;4,2;4,4;20;74;12;62;16,2;55;2;CR;0;0;1
Pachycephala griseonota_1910.12.28.238;Pachycephalidae;PASSERIFORMES;6336;1910.12.28.238;NHMUK;M;16,6;NA;5;5,3;19,9;81;16;65;19,8;51;2;CR;0;0;0
Pachycephala griseonota_1910.12.28.238;Pachycephalidae;PASSERIFORMES;6336;1910.12.28.238;NHMUK;M;15,3;8,9;3,9;5,3;19,4;81;16,4;64,6;20,2;56;1;CS;1;0;0
Pachycephala griseonota_1910.12.28.244;Pachycephalidae;PASSERIFORMES;6336;1910.12.28.244;NHMUK;M;16,8;NA;5;5,2;22,3;80;14;66;17,5;48;2;CR;0;0;0
Pachycephala griseonota_1910.12.28.244;Pachycephalidae;PASSERIFORMES;6336;1910.12.28.244;NHMUK;M;15,7;8,7;4,2;5,2;19,5;79,5;15,6;63,9;19,6;54;1;CS;1;0;0
Pachycephala griseonota_658810;Pachycephalidae;PASSERIFORMES;6336;658810;AMNH;M;16,2;NA;5;5,3;20,2;78;15;63;19,2;56;2;CR;0;0;0
Pachycephala griseonota_658810;Pachycephalidae;PASSERIFORMES;6336;658810;AMNH;M;15,4;8,4;4,2;5;18,2;79;15,4;63,6;19,5;74;1;CS;1;0;0
Pachycephala homeyeri_96.6.6.345;Pachycephalidae;PASSERIFORMES;6327;96.6.6.345;NHMUK;M;16,9;NA;5,2;4,8;22,3;76;9;67;11,8;60;1;CR;0;0;0
Pachycephala homeyeri_96.6.6.345;Pachycephalidae;PASSERIFORMES;6327;96.6.6.345;NHMUK;M;16,3;9,5;4,1;4,9;20;76;10,6;65,4;13,9;62;3;CS;1;0;0
Pachycephala homeyeri_96.6.6.345;Pachycephalidae;PASSERIFORMES;6327;96.6.6.345;NHMUK;M;17,2;NA;4,4;4,9;20,2;77;NA;NA;NA;62;2;GT;0;0;0
Pachycephala hyperythra_99.11.3.37;Pachycephalidae;PASSERIFORMES;6331;99.11.3.37;NHMUK;U;16,9;10,2;4,8;6,2;20,7;86;15,2;70,8;17,7;55;2;CS;1;0;0
Pachycephala hyperythra_99.11.3.37;Pachycephalidae;PASSERIFORMES;6331;99.11.3.37;NHMUK;M;17,5;NA;5;5,8;21;86;NA;NA;NA;61;1;GT;0;0;0
Pachycephala hypoxantha_1908.12.9.67;Pachycephalidae;PASSERIFORMES;6324;1908.12.9.67;NHMUK;M;17,4;NA;5,3;5,1;21,2;87;15;72;17,2;60;2;CR;0;0;0
Pachycephala hypoxantha_1908.12.9.67;Pachycephalidae;PASSERIFORMES;6324;1908.12.9.67;NHMUK;M;16,4;9,3;4,5;5,3;19,1;85;13,2;71,8;15,5;64;1;CS;1;0;0
Pachycephala hypoxantha_1969.29.319;Pachycephalidae;PASSERIFORMES;6324;1969.29.319;NHMUK;M;17,1;NA;5,5;5,1;21,4;82;14;68;17,1;58;2;CR;0;0;0
Pachycephala hypoxantha_1969.29.319;Pachycephalidae;PASSERIFORMES;6324;1969.29.319;NHMUK;M;16,6;9,1;4,3;4,8;19,5;82;13,9;68,1;17;56;1;CS;1;0;0
Pachycephala implicata_1959.21.1077;Pachycephalidae;PASSERIFORMES;6317;1959.21.1077;NHMUK;M;20,3;NA;6;6;27,5;90;15;75;16,7;65;2;CR;0;0;0
Pachycephala implicata_1959.21.1077;Pachycephalidae;PASSERIFORMES;6317;1959.21.1077;NHMUK;M;18,7;10,2;4,7;6,2;25,5;87;11,7;75,3;13,4;66;1;CS;1;0;0
Pachycephala implicata_1959.21.1078;Pachycephalidae;PASSERIFORMES;6317;1959.21.1078;NHMUK;M;NA;NA;5,7;5,6;28;90;12;78;13,3;68;2;CR;0;0;0
Pachycephala implicata_1959.21.1078;Pachycephalidae;PASSERIFORMES;6317;1959.21.1078;NHMUK;M;17,3;10,1;5;5,8;25,9;90;12,3;77,7;13,7;72,5;1;CS;1;0;0
Pachycephala inornata_1965.43.797;Pachycephalidae;PASSERIFORMES;6311;1965.43.797;NHMUK;F;17,8;NA;4,3;6;NA;96;NA;NA;NA;86;1;BM;0;0;0
Pachycephala inornata_1965.43.797;Pachycephalidae;PASSERIFORMES;6311;1965.43.797;NHMUK;F;16,4;8,4;4,3;6;23,7;97;17,6;79,4;18,1;89;2;CS;1;0;0
Pachycephala inornata_1965.43.798;Pachycephalidae;PASSERIFORMES;6311;1965.43.798;NHMUK;M;17,5;NA;4,7;6,1;NA;97;NA;NA;NA;87;1;BM;0;0;0
Pachycephala inornata_1965.43.798;Pachycephalidae;PASSERIFORMES;6311;1965.43.798;NHMUK;M;16,7;8,6;4,4;6,2;24,3;99;19,5;79,5;19,7;88;3;CS;1;0;0
Pachycephala inornata_1965.43.798;Pachycephalidae;PASSERIFORMES;6311;1965.43.798;NHMUK;M;17,2;NA;4,9;6,2;24,4;100;NA;NA;NA;89;2;GT;0;0;0
Pachycephala jacquinoti_98.9.20.1010;Pachycephalidae;PASSERIFORMES;6344;98.9.20.1010;NHMUK;M;21,3;NA;6,2;6,2;27,9;100;22;78;22;67;2;CR;0;0;0
Pachycephala jacquinoti_98.9.20.1010;Pachycephalidae;PASSERIFORMES;6344;98.9.20.1010;NHMUK;M;20,1;11,2;5,4;6,4;24,6;100;24,7;75,3;24,7;72;1;DS;1;0;0
Pachycephala lanioides_1969.4.518;Pachycephalidae;PASSERIFORMES;6340;1969.4.518;NHMUK;M;23,1;NA;5,6;7,5;NA;93;NA;NA;NA;76;1;BM;0;0;0
Pachycephala lanioides_1969.4.518;Pachycephalidae;PASSERIFORMES;6340;1969.4.518;NHMUK;M;24,1;NA;6,5;7,5;27,7;93;10;83;10,8;72;3;CR;0;0;0
Pachycephala lanioides_1969.4.518;Pachycephalidae;PASSERIFORMES;6340;1969.4.518;NHMUK;M;21,8;12,9;5,5;7,8;25,3;92;12;80;13;82;2;CS;1;0;0
Pachycephala lanioides_1969.4.529;Pachycephalidae;PASSERIFORMES;6340;1969.4.529;NHMUK;M;25,2;NA;5,6;7,4;NA;96;NA;NA;NA;74;1;BM;0;0;1
Pachycephala lanioides_1969.4.529;Pachycephalidae;PASSERIFORMES;6340;1969.4.529;NHMUK;M;24,5;NA;6,1;7,5;27,9;97;15;82;15,5;74;2;CR;0;0;1
Pachycephala lanioides_1969.4.530;Pachycephalidae;PASSERIFORMES;6340;1969.4.530;NHMUK;M;23,2;NA;5,7;7,7;NA;94;NA;NA;NA;78;1;BM;0;0;1
Pachycephala lanioides_1969.4.530;Pachycephalidae;PASSERIFORMES;6340;1969.4.530;NHMUK;M;24,1;NA;6,8;7,6;27,6;95;12;83;12,6;74;2;CR;0;0;1
Pachycephala lanioides_1969.4.531;Pachycephalidae;PASSERIFORMES;6340;1969.4.531;NHMUK;F;22,3;NA;5,3;7,5;NA;92;NA;NA;NA;76;1;BM;0;0;0
Pachycephala lanioides_1969.4.531;Pachycephalidae;PASSERIFORMES;6340;1969.4.531;NHMUK;F;20,5;12,2;4,8;7,6;24,5;92;12,2;79,8;13,3;76,5;2;CS;1;0;0
Pachycephala lorentzi_341567;Pachycephalidae;PASSERIFORMES;6319;341567;AMNH;M;15,3;NA;4;4,8;26;92;17;75;18,5;68;2;CR;0;0;0
Pachycephala lorentzi_341567;Pachycephalidae;PASSERIFORMES;6319;341567;AMNH;M;14,1;7,3;3,8;4,7;23,9;92;17,5;74,5;19;74;1;CS;1;0;0
Pachycephala mentalis_1904.5.4.5;Pachycephalidae;PASSERIFORMES;6346;1904.5.4.5;NHMUK;M;20,7;NA;6,1;6,2;24;89;16;73;18;57;2;CR;0;0;0
Pachycephala mentalis_1904.5.4.5;Pachycephalidae;PASSERIFORMES;6346;1904.5.4.5;NHMUK;M;18,8;11,2;4,8;6,6;22;88;16;72;18,2;61;1;CS;1;0;0
Pachycephala meyeri_294217;Pachycephalidae;PASSERIFORMES;6318;294217;AMNH;F;13;8,5;4;4,8;20,3;78;15;63;19,2;59;2;BGF;1;1;0
Pachycephala meyeri_294217;Pachycephalidae;PASSERIFORMES;6318;294217;AMNH;F;13,1;8,5;3,9;4,7;19,7;78;15;63;19,2;58;1;CS;1;1;0
Pachycephala meyeri_658372;Pachycephalidae;PASSERIFORMES;6318;658372;AMNH;M;13,7;9,1;4,3;5,3;19,6;78;15;63;19,2;63;3;BGF;1;0;0
Pachycephala meyeri_658372;Pachycephalidae;PASSERIFORMES;6318;658372;AMNH;M;15,3;NA;4,6;5,5;20,3;79;15;64;19;56;1;CR;0;0;0
Pachycephala meyeri_658372;Pachycephalidae;PASSERIFORMES;6318;658372;AMNH;M;13,8;8,5;3,3;5;18,5;77,5;15,4;62,1;19,9;59;2;CS;1;0;0
Pachycephala modesta_1911.12.22.150;Pachycephalidae;PASSERIFORMES;6320;1911.12.22.150;NHMUK;F;14,1;7,8;4;4,6;22,7;84;17,5;66,5;20,8;66;2;CS;1;0;0
Pachycephala modesta_1911.12.22.150;Pachycephalidae;PASSERIFORMES;6320;1911.12.22.150;NHMUK;F;14,7;NA;5;4,6;22,1;85;NA;NA;NA;66;1;GT;0;0;0
Pachycephala monacha_1910.12.28.253;Pachycephalidae;PASSERIFORMES;6337;1910.12.28.253;NHMUK;M;17,7;NA;5,3;5,4;24;85;17;68;20;58;2;CR;0;0;0
Pachycephala monacha_1910.12.28.253;Pachycephalidae;PASSERIFORMES;6337;1910.12.28.253;NHMUK;M;16,3;9,3;4,1;5,6;19,8;86;18,7;67,3;21,7;65;1;CS;1;0;0
Pachycephala monacha_73.5.12.673;Pachycephalidae;PASSERIFORMES;6337;73.5.12.673;NHMUK;M;16,9;NA;5,6;5,2;21,2;87;21;66;24,1;60;2;CR;0;0;0
Pachycephala monacha_73.5.12.673;Pachycephalidae;PASSERIFORMES;6337;73.5.12.673;NHMUK;M;15,7;8,6;4,2;5,1;19,4;85,5;19,1;66,4;22,3;64,5;1;CS;1;0;0
Pachycephala olivacea_659406;Pachycephalidae;PASSERIFORMES;6309;659406;AMNH;M;19,5;NA;4,8;6,4;NA;102;NA;NA;NA;96;1;BM;0;0;1
Pachycephala olivacea_659406;Pachycephalidae;PASSERIFORMES;6309;659406;AMNH;M;19,8;NA;5,6;6,5;32,6;103;19;84;18,4;92;2;CR;0;0;1
Pachycephala olivacea_659409;Pachycephalidae;PASSERIFORMES;6309;659409;AMNH;M;17;NA;4,6;6;NA;97;NA;NA;NA;89;1;BM;0;0;1
Pachycephala olivacea_659409;Pachycephalidae;PASSERIFORMES;6309;659409;AMNH;M;17,7;NA;5,6;6,2;32;98;18;80;18,4;89;2;CR;0;0;1
Pachycephala olivacea_659422;Pachycephalidae;PASSERIFORMES;6309;659422;AMNH;M;18,6;NA;4,8;6,4;NA;97;NA;NA;NA;91;2;BM;0;0;1
Pachycephala olivacea_659422;Pachycephalidae;PASSERIFORMES;6309;659422;AMNH;M;19,1;NA;5,8;6,7;31,7;99;18;81;18,2;NA;1;CR;0;0;1
Pachycephala olivacea_81.11.7.453;Pachycephalidae;PASSERIFORMES;6309;81.11.7.453;NHMUK;U;17;9;4,6;6,3;28,1;94,5;15,8;78,7;16,7;87;2;CS;1;0;0
Pachycephala olivacea_81.11.7.453;Pachycephalidae;PASSERIFORMES;6309;81.11.7.453;NHMUK;U;17,9;NA;5;6,1;27,5;97;NA;NA;NA;88;1;GT;0;0;0
Pachycephala olivacea_81.11.7.454;Pachycephalidae;PASSERIFORMES;6309;81.11.7.454;NHMUK;U;18,5;NA;5,4;6,2;NA;95;NA;NA;NA;85;1;BM;0;0;0
Pachycephala olivacea_81.11.7.454;Pachycephalidae;PASSERIFORMES;6309;81.11.7.454;NHMUK;U;17,2;9,1;4,8;6,7;29,6;98;21,5;76,5;21,9;87;2;CS;1;0;0
Pachycephala olivacea_81.2.18.102;Pachycephalidae;PASSERIFORMES;6309;81.2.18.102;NHMUK;U;16,8;NA;5,4;6,6;NA;92;NA;NA;NA;87;1;BM;0;0;0
Pachycephala olivacea_81.2.18.102;Pachycephalidae;PASSERIFORMES;6309;81.2.18.102;NHMUK;U;17,8;8,5;4,9;6,9;26,3;95;15;80;15,8;93;2;CS;1;0;0
Pachycephala olivacea_81.3.15.1;Pachycephalidae;PASSERIFORMES;6309;81.3.15.1;NHMUK;U;16,3;NA;5,2;6,4;NA;95;NA;NA;NA;86;1;BM;0;0;0
Pachycephala olivacea_81.3.15.1;Pachycephalidae;PASSERIFORMES;6309;81.3.15.1;NHMUK;U;18;9,3;4,7;6,8;30,1;96;17,6;78,4;18,3;89;2;CS;1;0;0
Pachycephala orpheus_73.5.12.523;Pachycephalidae;PASSERIFORMES;6335;73.5.12.523;NHMUK;M;14,7;7,9;3,9;4,9;19,9;73;12,6;60,4;17,3;58;2;CS;1;0;0
Pachycephala orpheus_73.5.12.523;Pachycephalidae;PASSERIFORMES;6335;73.5.12.523;NHMUK;M;14,8;NA;3,4;4,8;19,1;72;NA;NA;NA;57;1;GT;0;0;0
Pachycephala phaionota_1910.12.28.249;Pachycephalidae;PASSERIFORMES;6330;1910.12.28.249;NHMUK;M;20;NA;5,5;5,7;24,1;89;18;71;20,2;62;2;CR;0;0;0
Pachycephala phaionota_1910.12.28.249;Pachycephalidae;PASSERIFORMES;6330;1910.12.28.249;NHMUK;M;18,8;11,2;4,5;5,8;18,4;89;17,5;71,5;19,7;58;1;CS;1;0;0
Pachycephala phaionota_1910.12.28.250;Pachycephalidae;PASSERIFORMES;6330;1910.12.28.250;NHMUK;M;21,2;NA;5,3;5,3;24;84;16;68;19;60;2;CR;0;0;0
Pachycephala phaionota_1910.12.28.250;Pachycephalidae;PASSERIFORMES;6330;1910.12.28.250;NHMUK;M;18,2;10,6;4,5;5,7;21,9;83;15,3;67,7;18,4;62;1;CS;1;0;0
Pachycephala phaionota_1910.12.28.251;Pachycephalidae;PASSERIFORMES;6330;1910.12.28.251;NHMUK;M;20;NA;5,4;5,6;22,7;83;18;65;21,7;59;2;CR;0;0;0
Pachycephala phaionota_1910.12.28.251;Pachycephalidae;PASSERIFORMES;6330;1910.12.28.251;NHMUK;M;18,5;10,6;4,5;6,3;22,3;83;17,3;65,7;20,8;62;1;CS;1;0;0
Pachycephala rufogularis_1977.14.1;Pachycephalidae;PASSERIFORMES;6310;1977.14.1;NHMUK;F;18,7;NA;4,5;5,4;NA;111;NA;NA;NA;86;1;BM;0;0;0
Pachycephala rufogularis_1977.14.1;Pachycephalidae;PASSERIFORMES;6310;1977.14.1;NHMUK;M;19,5;NA;5,4;5,4;26,6;113;28;85;24,8;75;3;CR;0;0;0
Pachycephala rufogularis_1977.14.1;Pachycephalidae;PASSERIFORMES;6310;1977.14.1;NHMUK;M;17,8;8,9;4;5,9;23,9;112;27,1;84,9;24,2;91;2;CS;1;0;0
Pachycephala rufogularis_1982.8.3;Pachycephalidae;PASSERIFORMES;6310;1982.8.3;NHMUK;F;18,1;9,5;4,2;5,9;24,3;112;25,8;86,2;23;95;2;CS;1;0;0
Pachycephala rufogularis_1982.8.3;Pachycephalidae;PASSERIFORMES;6310;1982.8.3;NHMUK;F;19,1;NA;4,1;5,6;24,3;112;NA;NA;NA;91;1;GT;0;0;0
Pachycephala rufogularis_659346;Pachycephalidae;PASSERIFORMES;6310;659346;AMNH;M;18,4;NA;5,3;5,7;28,1;112;27;85;24,1;82;2;CR;0;0;1
Pachycephala rufogularis_659346;Pachycephalidae;PASSERIFORMES;6310;659346;AMNH;M;17,9;NA;4,2;5,6;26,1;112;NA;NA;NA;84;1;VR;0;0;1
Pachycephala rufogularis_659347;Pachycephalidae;PASSERIFORMES;6310;659347;AMNH;M;19,2;NA;4,5;5,4;NA;111;NA;NA;NA;90;2;BM;0;0;1
Pachycephala rufogularis_659347;Pachycephalidae;PASSERIFORMES;6310;659347;AMNH;M;19,7;NA;5,5;5,8;27;112;27;85;24,1;81;1;CR;0;0;1
Pachycephala rufogularis_659347;Pachycephalidae;PASSERIFORMES;6310;659347;AMNH;M;17,5;NA;4,5;5,5;25,6;111,5;NA;NA;NA;83;3;VR;0;0;1
Pachycephala rufogularis_659348;Pachycephalidae;PASSERIFORMES;6310;659348;AMNH;M;19,4;NA;4,5;5,4;NA;112;NA;NA;NA;87;1;BM;0;0;1
Pachycephala rufogularis_659348;Pachycephalidae;PASSERIFORMES;6310;659348;AMNH;M;19,4;NA;5,5;5,5;26,4;112;27;85;24,1;82;2;CR;0;0;1
Pachycephala schlegelii_1911.12.22.138;Pachycephalidae;PASSERIFORMES;6313;1911.12.22.138;NHMUK;M;16,3;NA;5,2;4,8;24,4;86;16;70;18,6;63;2;CR;0;0;0
Pachycephala schlegelii_1911.12.22.138;Pachycephalidae;PASSERIFORMES;6313;1911.12.22.138;NHMUK;M;15;8,2;4,1;4,8;22,9;90;19;71;21,1;67;1;CS;1;0;0
Pachycephala sulfuriventer_97.12.24.12;Pachycephalidae;PASSERIFORMES;6323;97.12.24.12;NHMUK;M;15;9,2;4,1;5;17,2;78;11,1;66,9;14,2;60;2;CS;1;0;0
Pachycephala sulfuriventer_97.12.24.12;Pachycephalidae;PASSERIFORMES;6323;97.12.24.12;NHMUK;M;15,6;NA;4,1;4,7;17,8;77;NA;NA;NA;60;1;GT;0;0;0
Pachycephala vitiensis_252937;Pachycephalidae;PASSERIFORMES;6345;252937;AMNH;M;19,2;NA;5,8;5,8;27;88;18;70;20,5;60;2;CR;0;0;0
Pachycephala vitiensis_252937;Pachycephalidae;PASSERIFORMES;6345;252937;AMNH;M;17,7;10,4;4,8;5,9;25;88,5;17,4;71,1;19,7;66;1;CS;1;0;0
Pachyramphus albogriseus_1888.1.20.544;Tityridae;PASSERIFORMES;5444;1888.1.20.544;NHMUK;M;14,7;NA;7;5,5;17,8;73;NA;NA;NA;55;2;GT;0;0;0
Pachyramphus albogriseus_1888.1.20.544;Tityridae;PASSERIFORMES;5444;1888.1.20.544;NHMUK;M;15,3;9,8;7,1;5,3;17,6;73,5;20,1;53,4;27,3;54;1;HM;1;0;0
Pachyramphus cinnamomeus_99.5.1.418;Tityridae;PASSERIFORMES;5438;99.5.1.418;NHMUK;M;18;10,9;7,2;6,4;19,5;79,5;16,4;63,1;20,6;58;2;CS;1;0;0
